Movieid,companyid,company,country,Countryid
1,1,Columbia Pictures Corporation,USA,1
2,2,Paramount Pictures,USA,1
3,2,Paramount Pictures,USA,1
4,3,Twentieth Century Fox Film Corporation,USA,1
5,4,Walt Disney Pictures,USA,1
6,5,Hemdale,UK,2
7,6,Henson Associates HA,UK,2
8,7,De Laurentiis Entertainment Group DEG,USA,1
9,2,Paramount Pictures,USA,1
10,8,SLM Production Group,USA,1
11,9,Rimfire Films,Australia,3
12,10,Thorn EMI Screen Entertainment,UK,2
13,3,Twentieth Century Fox Film Corporation,USA,1
14,3,Twentieth Century Fox Film Corporation,USA,1
15,7,De Laurentiis Entertainment Group DEG,USA,1
16,11,Producers Sales Organization PSO,USA,1
17,7,De Laurentiis Entertainment Group DEG,USA,1
18,12,Geffen Company  The,USA,1
19,13,New Century Entertainment Corporation,USA,1
20,14,Universal Pictures,USA,1
21,15,New Line Cinema,USA,1
22,16,Orion Pictures,USA,1
23,17,Cannon Films,USA,1
24,18,Jay Weston Productions,USA,1
25,2,Paramount Pictures,USA,1
26,19,TriStar Pictures,USA,1
27,20,Neue Constantin Film,Italy,4
28,19,TriStar Pictures,USA,1
29,2,Paramount Pictures,USA,1
30,5,Hemdale,USA,1
31,21,LA Films,USA,1
32,22,Warner Bros,USA,1
33,23,Gaumont,France,5
34,22,Warner Bros,UK,2
35,24,Touchstone Pictures,USA,1
36,1,Columbia Pictures Corporation,USA,1
37,25,Lorimar Productions,USA,1
38,26,HBO Films,USA,1
39,27,Amblin Entertainment,USA,1
40,2,Paramount Pictures,USA,1
41,28,The Saul Zaentz Company,USA,1
42,14,Universal Pictures,USA,1
43,29,Initial Pictures,UK,2
44,7,De Laurentiis Entertainment Group DEG,USA,1
45,30,Empire Pictures,USA,1
46,19,TriStar Pictures,USA,1
47,31,Freddie Fields Productions,USA,1
48,30,Empire Pictures,USA,1
49,32,MetroGoldwynMayer MGM,USA,1
50,33,Hawn / Sylbert Movie Company,USA,1
51,34,Maljack Productions,USA,1
52,35,ABC Motion Pictures,USA,1
53,16,Orion Pictures,USA,1
54,4,Walt Disney Pictures,USA,1
55,7,De Laurentiis Entertainment Group DEG,USA,1
56,36,Sunbow Productions,USA,1
57,37,TaliaFilm II Productions,USA,1
58,19,TriStar Pictures,USA,1
59,38,Cannon Pictures,USA,1
60,1,Columbia Pictures Corporation,USA,1
61,39,De Haven Productions,UK,2
62,40,Svenska Filminstitutet SFI,Sweden,6
63,41,Cinema 85,USA,1
64,42,Blueline Productions,USA,1
65,43,Seasonal Film Corporation,USA,1
66,14,Universal Pictures,USA,1
67,2,Paramount Pictures,USA,1
68,22,Warner Bros,USA,1
69,44,GolanGlobus Productions,USA,1
70,22,Warner Bros,USA,1
71,19,TriStar Pictures,USA,1
72,45,Balcor Film Investors,USA,1
73,46,AM Films,USA,1
74,7,De Laurentiis Entertainment Group DEG,USA,1
75,2,Paramount Pictures,USA,1
76,47,American Filmworks,USA,1
77,48,Police Academy Productions,USA,1
78,49,40 Acres  A Mule Filmworks,USA,1
79,24,Touchstone Pictures,USA,1
80,50,Delphi V Productions,USA,1
81,51,Cannon Group,USA,1
82,2,Paramount Pictures,USA,1
83,1,Columbia Pictures Corporation,USA,1
84,52,Black Snake,USA,1
85,16,Orion Pictures,USA,1
86,53,Fuji Television Network,Japan,7
87,54,Religioso Primitiva,USA,1
88,55,Gladden Entertainment,USA,1
89,2,Paramount Pictures,USA,1
90,56,Brooksfilms,USA,1
91,57,Kings Road Entertainment,USA,1
92,58,Lawrence Gordon Productions,USA,1
93,59,Carthago Films Sarl,France,5
94,60,Meltdown Productions,UK,2
95,24,Touchstone Pictures,USA,1
96,61,Compañia Iberoamericana de TV,Spain,8
97,62,New World Pictures,USA,1
98,63,Cinema Group Ventures,USA,1
99,64,Paragon Arts International,UK,2
100,24,Touchstone Pictures,USA,1
101,65,Capital Equipment Leasing,UK,2
102,1,Columbia Pictures Corporation,USA,1
103,36,Sunbow Productions,USA,1
104,66,Virgin Vision,UK,2
105,11,Producers Sales Organization PSO,USA,1
106,19,TriStar Pictures,USA,1
107,16,Orion Pictures,USA,1
108,30,Empire Pictures,USA,1
109,44,GolanGlobus Productions,USA,1
110,67,HandMade Films,UK,2
111,68,Delphi Films,USA,1
112,51,Cannon Group,USA,1
113,69,Cannon Screen Entertainment,UK,2
114,70,Amaretto Films,USA,1
115,71,British Film Institute BFI,UK,2
116,72,Les Films Plain Chant,France,5
117,2,Paramount Pictures,USA,1
118,22,Warner Bros,USA,1
119,14,Universal Pictures,USA,1
120,10,Thorn EMI Screen Entertainment,UK,2
121,73,Atlantic Entertainment Group,USA,1
122,32,MetroGoldwynMayer MGM,USA,1
123,73,Atlantic Entertainment Group,USA,1
124,74,DD Productions,Switzerland,9
125,45,Balcor Film Investors,USA,1
126,74,DD Productions,Switzerland,9
127,67,HandMade Films,UK,2
128,25,Lorimar Productions,USA,1
129,75,Not specified,USA,1
130,7,De Laurentiis Entertainment Group DEG,USA,1
131,76,Cinema VII,USA,1
132,30,Empire Pictures,USA,1
133,77,TMS Pictures,Canada,10
134,44,GolanGlobus Productions,USA,1
135,78,Edward R Pressman Film,USA,1
136,22,Warner Bros,USA,1
137,50,Delphi V Productions,Israel,11
138,79,Goldcrest Films International,UK,2
139,80,Little Bear,USA,1
140,81,Cannon Group  The,USA,1
141,82,Simcom Limited,Canada,10
142,83,Compact Yellowbill,UK,2
143,25,Lorimar Productions,USA,1
144,1,Columbia Pictures Corporation,USA,1
145,84,Crown International Pictures,USA,1
146,85,Rastar Pictures,USA,1
147,86,Ministère de la Culture et de la Communication,France,5
148,51,Cannon Group,USA,1
149,69,Cannon Screen Entertainment,UK,2
150,78,Edward R Pressman Film,UK,2
151,87,Aaron Spelling Productions,USA,1
152,88,Blake Edwards,USA,1
153,89,Chroma III Productions,USA,1
154,90,Fons Rademakers Produktie,Netherlands,12
155,91,Griffon Productions,USA,1
156,92,Heron Communications,USA,1
157,50,Delphi V Productions,USA,1
158,7,De Laurentiis Entertainment Group DEG,USA,1
159,93,Scary Stuff,USA,1
160,94,Escalante Productions,USA,1
161,57,Kings Road Entertainment,USA,1
162,95,Canadian Broadcasting Corporation CBC,Canada,10
163,14,Universal Pictures,USA,1
164,96,Marquis,USA,1
165,97,Rondo Productions,USA,1
166,98,Nelvana,Canada,10
167,1,Columbia Pictures Corporation,USA,1
168,45,Balcor Film Investors,USA,1
169,63,Cinema Group Ventures,USA,1
170,2,Paramount Pictures,USA,1
171,99,Cascade Films,Australia,3
172,100,Miramax,USA,1
173,44,GolanGlobus Productions,USA,1
174,101,Island Pictures,USA,1
175,2,Paramount Pictures,USA,1
176,88,Blake Edwards,USA,1
177,5,Hemdale,USA,1
178,102,Rank Organisation  The,UK,2
179,103,Cinequanon,Argentina,13
180,104,Corporation Image M  M,Canada,10
181,105,Rastar Films,USA,1
182,106,Portreeve,UK,2
183,107,American Playhouse,USA,1
184,108,Carson Productions,USA,1
185,109,Alternate Current,USA,1
186,110,Cine Valse,France,5
187,111,Cameras Continentales,Denmark,14
188,112,Film Corporation of Kenya,UK,2
189,113,CineplexOdeon Films,Australia,3
190,51,Cannon Group,USA,1
191,114,Hyperion Pictures,USA,1
192,115,Produzioni Europee Associate PEA,Italy,4
193,32,MetroGoldwynMayer MGM,USA,1
194,116,MTM Enterprises,USA,1
195,117,LynnDavis Productions,USA,1
196,118,Longshot,USA,1
197,119,Silver Screen Partners II,USA,1
198,120,Roundhouse,USA,1
199,121,ConvyFimberg Productions,USA,1
