Movieid,ratingid,rating
1,1,R
2,2,PG13
3,3,PG
4,1,R
5,3,PG
6,1,R
7,3,PG
8,1,R
9,2,PG13
10,1,R
11,2,PG13
12,1,R
13,2,PG13
14,2,PG13
15,1,R
16,1,R
17,1,R
18,2,PG13
19,2,PG13
20,3,PG
21,2,PG13
22,2,PG13
23,4,UNRATED
24,1,R
25,3,PG
26,3,PG
27,1,R
28,2,PG13
29,2,PG13
30,1,R
31,3,PG
32,1,R
33,5,Not specified
34,3,PG
35,1,R
36,3,PG
37,3,PG
38,1,R
39,3,PG
40,1,R
41,3,PG
42,6,G
43,1,R
44,2,PG13
45,1,R
46,2,PG13
47,2,PG13
48,2,PG13
49,1,R
50,1,R
51,4,UNRATED
52,3,PG
53,2,PG13
54,6,G
55,1,R
56,3,PG
57,3,PG
58,1,R
59,3,PG
60,1,R
61,3,PG
62,3,PG
63,1,R
64,1,R
65,3,PG
66,1,R
67,1,R
68,1,R
69,1,R
70,1,R
71,1,R
72,2,PG13
73,3,PG
74,1,R
75,2,PG13
76,1,R
77,3,PG
78,1,R
79,1,R
80,1,R
81,1,R
82,1,R
83,2,PG13
84,1,R
85,1,R
86,6,G
87,1,R
88,2,PG13
89,1,R
90,2,PG13
91,1,R
92,1,R
93,2,PG13
94,5,Not specified
95,3,PG
96,7,NC17
97,1,R
98,2,PG13
99,1,R
100,1,R
101,2,PG13
102,3,PG
103,6,G
104,1,R
105,1,R
106,1,R
107,3,PG
108,1,R
109,3,PG
110,1,R
111,3,PG
112,3,PG
113,1,R
114,1,R
115,5,Not specified
116,4,UNRATED
117,2,PG13
118,2,PG13
119,3,PG
120,3,PG
121,1,R
122,1,R
123,1,R
124,3,PG
125,1,R
126,3,PG
127,2,PG13
128,1,R
129,2,PG13
130,2,PG13
131,1,R
132,3,PG
133,1,R
134,1,R
135,3,PG
136,2,PG13
137,2,PG13
138,2,PG13
139,1,R
140,1,R
141,1,R
142,3,PG
143,2,PG13
144,1,R
145,1,R
146,2,PG13
147,1,R
148,1,R
149,1,R
150,1,R
151,2,PG13
152,3,PG
153,1,R
154,3,PG
155,2,PG13
156,1,R
157,1,R
158,1,R
159,1,R
160,1,R
161,1,R
162,1,R
163,3,PG
164,1,R
165,5,Not specified
166,6,G
167,1,R
168,3,PG
169,1,R
170,1,R
171,2,PG13
172,2,PG13
173,1,R
174,2,PG13
175,1,R
176,2,PG13
177,3,PG
178,3,PG
179,1,R
180,1,R
181,2,PG13
182,3,PG
183,3,PG
184,3,PG
185,4,UNRATED
186,5,Not specified
187,1,R
188,1,R
189,1,R
190,1,R
191,6,G
192,2,PG13
193,1,R
194,2,PG13
195,2,PG13
196,2,PG13
197,3,PG
198,1,R
199,1,R
200,3,PG
201,1,R
202,3,PG
203,2,PG13
204,1,R
205,3,PG
206,3,PG
207,1,R
208,1,R
209,1,R
210,3,PG
211,5,Not specified
212,6,G
213,3,PG
214,1,R
215,3,PG
216,1,R
217,3,PG
218,3,PG
219,6,G
220,1,R
221,3,PG
222,1,R
223,1,R
224,2,PG13
225,1,R
226,1,R
227,1,R
228,3,PG
229,1,R
230,1,R
231,1,R
232,1,R
233,3,PG
234,2,PG13
235,1,R
236,3,PG
237,1,R
238,3,PG
239,2,PG13
240,1,R
241,2,PG13
242,1,R
243,2,PG13
244,1,R
245,2,PG13
246,3,PG
247,1,R
248,2,PG13
249,1,R
250,2,PG13
251,3,PG
252,3,PG
253,3,PG
254,3,PG
255,1,R
256,3,PG
257,2,PG13
258,1,R
259,1,R
260,3,PG
261,1,R
262,2,PG13
263,1,R
264,2,PG13
265,1,R
266,1,R
267,3,PG
268,3,PG
269,1,R
270,2,PG13
271,1,R
272,2,PG13
273,3,PG
274,1,R
275,3,PG
276,3,PG
277,2,PG13
278,2,PG13
279,1,R
280,2,PG13
281,2,PG13
282,3,PG
283,3,PG
284,2,PG13
285,1,R
286,1,R
287,1,R
288,1,R
289,2,PG13
290,6,G
291,1,R
292,2,PG13
293,3,PG
294,1,R
295,3,PG
296,3,PG
297,1,R
298,3,PG
299,3,PG
300,1,R
301,1,R
302,1,R
303,1,R
304,2,PG13
305,3,PG
306,1,R
307,2,PG13
308,1,R
309,1,R
310,3,PG
311,3,PG
312,1,R
313,1,R
314,2,PG13
315,1,R
316,3,PG
317,1,R
318,1,R
319,1,R
320,1,R
321,1,R
322,2,PG13
323,1,R
324,1,R
325,1,R
326,2,PG13
327,3,PG
328,3,PG
329,1,R
330,1,R
331,1,R
332,1,R
333,2,PG13
334,2,PG13
335,1,R
336,3,PG
337,1,R
338,1,R
339,3,PG
340,8,NOT RATED
341,2,PG13
342,3,PG
343,1,R
344,2,PG13
345,2,PG13
346,1,R
347,1,R
348,1,R
349,6,G
350,1,R
351,3,PG
352,1,R
353,1,R
354,3,PG
355,3,PG
356,1,R
357,1,R
358,1,R
359,1,R
360,1,R
361,1,R
362,1,R
363,1,R
364,2,PG13
365,1,R
366,1,R
367,1,R
368,1,R
369,1,R
370,5,Not specified
371,3,PG
372,2,PG13
373,1,R
374,1,R
375,2,PG13
376,3,PG
377,1,R
378,1,R
379,3,PG
380,1,R
381,1,R
382,1,R
383,2,PG13
384,1,R
385,2,PG13
386,1,R
387,1,R
388,3,PG
389,1,R
390,1,R
391,3,PG
392,1,R
393,3,PG
394,1,R
395,3,PG
396,6,G
397,3,PG
398,1,R
399,3,PG
400,1,R
401,2,PG13
402,1,R
403,3,PG
404,3,PG
405,3,PG
406,2,PG13
407,1,R
408,1,R
409,3,PG
410,1,R
411,2,PG13
412,1,R
413,1,R
414,2,PG13
415,1,R
416,1,R
417,5,Not specified
418,2,PG13
419,6,G
420,1,R
421,1,R
422,1,R
423,5,Not specified
424,1,R
425,1,R
426,1,R
427,1,R
428,3,PG
429,5,Not specified
430,1,R
431,1,R
432,1,R
433,2,PG13
434,6,G
435,1,R
436,1,R
437,1,R
438,1,R
439,8,NOT RATED
440,1,R
441,3,PG
442,1,R
443,1,R
444,1,R
445,3,PG
446,1,R
447,1,R
448,1,R
449,3,PG
450,1,R
451,3,PG
452,1,R
453,1,R
454,1,R
455,1,R
456,1,R
457,2,PG13
458,1,R
459,1,R
460,1,R
461,2,PG13
462,1,R
463,1,R
464,3,PG
465,6,G
466,3,PG
467,1,R
468,1,R
469,1,R
470,2,PG13
471,1,R
472,1,R
473,1,R
474,1,R
475,1,R
476,1,R
477,1,R
478,3,PG
479,3,PG
480,1,R
481,3,PG
482,3,PG
483,1,R
484,1,R
485,1,R
486,3,PG
487,6,G
488,1,R
489,2,PG13
490,2,PG13
491,1,R
492,1,R
493,1,R
494,2,PG13
495,3,PG
496,1,R
497,2,PG13
498,1,R
499,1,R
500,1,R
501,1,R
502,1,R
503,1,R
504,2,PG13
505,2,PG13
506,1,R
507,3,PG
508,2,PG13
509,2,PG13
510,1,R
511,3,PG
512,2,PG13
513,1,R
514,1,R
515,1,R
516,1,R
517,1,R
518,1,R
519,6,G
520,3,PG
521,2,PG13
522,1,R
523,2,PG13
524,1,R
525,1,R
526,1,R
527,3,PG
528,1,R
529,3,PG
530,3,PG
531,1,R
532,1,R
533,1,R
534,1,R
535,1,R
536,3,PG
537,3,PG
538,1,R
539,3,PG
540,1,R
541,1,R
542,3,PG
543,3,PG
544,1,R
545,1,R
546,1,R
547,1,R
548,3,PG
549,1,R
550,1,R
551,2,PG13
552,2,PG13
553,1,R
554,3,PG
555,1,R
556,3,PG
557,3,PG
558,1,R
559,2,PG13
560,3,PG
561,1,R
562,2,PG13
563,1,R
564,1,R
565,1,R
566,1,R
567,1,R
568,3,PG
569,8,NOT RATED
570,1,R
571,3,PG
572,2,PG13
573,2,PG13
574,1,R
575,3,PG
576,2,PG13
577,1,R
578,1,R
579,1,R
580,3,PG
581,1,R
582,3,PG
583,1,R
584,3,PG
585,1,R
586,3,PG
587,1,R
588,1,R
589,5,Not specified
590,1,R
591,1,R
592,2,PG13
593,3,PG
594,3,PG
595,1,R
596,1,R
597,3,PG
598,2,PG13
599,2,PG13
600,1,R
601,1,R
602,3,PG
603,2,PG13
604,1,R
605,5,Not specified
606,1,R
607,3,PG
608,1,R
609,3,PG
610,1,R
611,3,PG
612,1,R
613,1,R
614,1,R
615,1,R
616,3,PG
617,1,R
618,1,R
619,3,PG
620,1,R
621,3,PG
622,1,R
623,1,R
624,2,PG13
625,1,R
626,3,PG
627,2,PG13
628,5,Not specified
629,3,PG
630,1,R
631,1,R
632,1,R
633,1,R
634,3,PG
635,2,PG13
636,2,PG13
637,2,PG13
638,2,PG13
639,3,PG
640,1,R
641,2,PG13
642,3,PG
643,1,R
644,2,PG13
645,1,R
646,3,PG
647,1,R
648,1,R
649,3,PG
650,1,R
651,1,R
652,3,PG
653,1,R
654,2,PG13
655,1,R
656,1,R
657,2,PG13
658,1,R
659,3,PG
660,1,R
661,3,PG
662,2,PG13
663,1,R
664,2,PG13
665,6,G
666,1,R
667,1,R
668,2,PG13
669,3,PG
670,3,PG
671,3,PG
672,2,PG13
673,3,PG
674,1,R
675,2,PG13
676,1,R
677,1,R
678,3,PG
679,3,PG
680,2,PG13
681,2,PG13
682,1,R
683,3,PG
684,1,R
685,1,R
686,3,PG
687,3,PG
688,2,PG13
689,1,R
690,2,PG13
691,1,R
692,1,R
693,3,PG
694,3,PG
695,1,R
696,2,PG13
697,7,NC17
698,3,PG
699,3,PG
700,2,PG13
701,1,R
702,2,PG13
703,1,R
704,1,R
705,1,R
706,1,R
707,3,PG
708,1,R
709,1,R
710,1,R
711,1,R
712,6,G
713,1,R
714,3,PG
715,3,PG
716,1,R
717,2,PG13
718,3,PG
719,1,R
720,2,PG13
721,1,R
722,1,R
723,2,PG13
724,1,R
725,1,R
726,7,NC17
727,2,PG13
728,1,R
729,6,G
730,2,PG13
731,1,R
732,1,R
733,2,PG13
734,2,PG13
735,1,R
736,3,PG
737,2,PG13
738,1,R
739,2,PG13
740,1,R
741,1,R
742,2,PG13
743,1,R
744,1,R
745,1,R
746,3,PG
747,3,PG
748,2,PG13
749,2,PG13
750,2,PG13
751,1,R
752,2,PG13
753,3,PG
754,1,R
755,2,PG13
756,1,R
757,1,R
758,2,PG13
759,1,R
760,2,PG13
761,3,PG
762,2,PG13
763,2,PG13
764,1,R
765,1,R
766,1,R
767,3,PG
768,3,PG
769,1,R
770,1,R
771,1,R
772,2,PG13
773,1,R
774,2,PG13
775,1,R
776,2,PG13
777,1,R
778,2,PG13
779,1,R
780,1,R
781,1,R
782,2,PG13
783,1,R
784,1,R
785,1,R
786,3,PG
787,3,PG
788,1,R
789,1,R
790,3,PG
791,2,PG13
792,2,PG13
793,2,PG13
794,6,G
795,2,PG13
796,2,PG13
797,1,R
798,1,R
799,1,R
800,1,R
801,3,PG
802,1,R
803,1,R
804,1,R
805,2,PG13
806,1,R
807,1,R
808,1,R
809,1,R
